sample,"Absolute depth (2010 scale, cm)",Acamptocladius,Bryophaenocladius/Gymnometriocnemus,Chaetocladius,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomini,Cladopelma lateralis-type,Cladotanytarsus,Corynocera ambigua mentum,Corynoneura arctica-type,Corynoneura type A,Corynoneura/Thienemanniella 2 medians 2 accessory teeth,Thienemanniella clavicornis-type,Thienemanniella special (may have to be recheched w slides),Cricotopus B/Paratrichocladius,Dicrotendipes nervosus-type,Dicrotendipes notatus-type,Einfeldia,Eukiefferiella,Endochironomus impar-type,Glyptotendipes pallens-type,Glyptotendipes barbipes-type,Head capsule,Heterotrissocladius marcidus-type,Limnophyes,Microtendipes,Micropectra insignilobus-type,Micropsectra radialis-ype,Orthocladiinae,Paraphaenocladius,Paracladopelma,Parakiefferiella bathophila-type,Parasmittia A,Paratanytarsus dark,Paratanytarsus pale,Parorthocladius,Paratendipes albimanus-type,Phaenopsectra flavipes-type,Polypedilum nubeculosum-type,Polypedilum A Hofmann,Procladius,Prodiamesa,Pseudorthocladius,Psectrocladius,Psectrocladius (Allops/Mesops),Psectrocladius septentrionalis-type,Psectrocladius sordidellus-type,Smittia,Stictochironomus rosenschoeldi-type,Sergentia/Stictochironomus B? yi,Synorthocladius,Ablabesmyia,Paramerina,Zavrelimyia A,Thienemannimyia-type,"Zavrelimyia/Paramerina, dorsal pores in line",Tanypodinae,Tanytarsini,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Zalutschia B,Trichoptera mandible,Ablabesmyia thoracic horn (pupae),Chaoborus flavicans-type,Daphnia ephippia,Ephemeroptera mandible,Mite,Sialis mandible,Trichoptera clypeus,Procladius thoracic horn (pupa) BAC type,"Strange mandible, could be Plecoptera",Pygopodium,Floatablast (bryozoa. Plumatella),"Sessoblast (Plumatella), Bryozoa",Procladius thoracic horn (pupa) non BAC type,Chydoridae ephippium,Zavrelimyia TH,Chaoborus TH,Trichoptera pygopodium,Strange can-opener mandible,Strange mandible,Trichoptera anal claw,Tricho mandible pyramidal,Needle like mandible,Dashyelea,Sialis labrum,Strange hc,Sucker mandible,Asymetrical beetle mentum,Beetle mandible,Bear claw,Strange shovel mandible,Strange can opener mandible,Ceratopogonid,Bagger mandible,tergite indet,Hypopygium,Strange sucker mandible,Simuliid hypostoma,Sciaridae,Odonata claw,Heteroptera head
ROY 09 6a-2 33-34,653.5,0,,,3,,0,1,3,,0,0,6,0,0,0,1,0,,0,1,0,,0,0,0,1,15.5,0,1.5,,0,1.5,,0,,0,0,1,,0,1,,,,1.5,0,0,,0,1,0,7,0,0,0,,0,3,2,3,,1,1,60,3,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
ROY 09 6a-2 38-39,658.5,0,,,5,,1,2,3,,0,0,8,0,0,0,1,0,,0,,0,,0,0,0,,7,0,0,,0,1,,0,,0,0,,,0,3,,,,2,0,0,,0,,1.5,9,0,0,2,,0,5,4,6,,0,0,114,0,9,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,,,
ROY 09 6a-2 43-44,663.5,,,,2,,,1,2,,,,9,,0,,,,,,0.5,,,1,1.5,,,8,,1,,,1,,,,,,,,,3,,,,2,,,,,,1,10,,,2,,,,0,6,,1,,55,3,16,2,3,,,,,3,,1,,,3,,,3,,1,,,2,,,,,,,,,,1,,,,,,
ROY 09 A 6a-2 48-49,668.5,,,,3,,1,,2,,,,8,,1,,1,,,,,1.5,,,,0.5,,37,,2,,,,0.5,,,,,,,,2,,,,2.5,,1,1,,,,9,,,,,,1.5,1,7,,4,1,106,14,7,,2,,,,,2,,1,,,1,,,3,,1,,,,,,,,,,,1,,,,,,,,
ROY 09 A 6a-2 53-54,673.5,,1,,1,,1,,1,1,,,8,,3,,,,,,,1,,1,,,,59,,2,,,1,,,,,,0.5,,,3,,,,1,,,1,,,0.5,,,,1,,,0,3,5,,2,,134,8,15,5,3,,,,,6,,,,,5,,,2,3,3,,,1,,,,,,1,,,,2,,,,1,1,1
ROY 09 A 6a-2 55-56 0.5 cm3,675.5,,,,,,1,,3,,,,1,,0,,,,,,,,,,0.5,1,,34,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,0,3,,1,,55,,3,,1,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
ROY 09 6a-2 58-59,678.5,0,,,1,1,0.5,0,1,,0,0,9,0,3,0,0,0,1,0,0,2,,1,0,1,0,45,0,0,,0,1.5,,0,,0,0,,,0,1,,,,5.5,0,1,,0,0,1,7,0,0,0,,0,7.5,3,6,,4,0,76,5,14,2,3,0,0,0,2,11,4,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,
ROY 09A 6a 60-61,680.5,,,,,,1,,1,,,,3,,0,,1,,,,,,,,,,,33.5,,,,,2.5,,,,,,0.5,,,1,,,,1,,,,,,,,,,1,,,1,1,4,,1,1,19,,2,,5,,,,,2,3,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,
ROY 09 6a-2 63-64,683.5,,,,1,,,,2,,,,4,,0,,,,,,,,,,0.5,0.5,,26.5,,0.5,,,0.5,,,,,,0.5,,,1,,1,,1,,,,,,,,,,,,,4,9,2,,,,37,,3,,,1,,,,4,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
ROY 09 6a-2 68-69 1 cm3,688.5,,,,2,,0.5,,1,,,,5,,0,,,,,,,,,2.5,,,,110,,,,,4,,,,,,,,,4,,,,2,,,,,,0.5,6,,,,,,2,1,1,,3,4,65,3,11,,1,,,,,6,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
ROY 09 A 6a-2 70-71,690.5,1,1,,1,,,,2,,2,,3,,0,,1,,,,,,1,,1,,,52.5,,,,,3,,,,,,,,,1,,,,1,,,,,,0.5,2,,,,,,2,5,0,,,,40,5,5,1,1,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 73-74,693.5,1,,,8,,,2,8,,3,,12,,0,,5,,,,,,,,1,0.5,,200.5,,,,,3,,,1,,,1,,1,10,,,0.5,14.5,,1.5,,,,3,14,,,2,,1,7,6,2,,3,4,87,7,16,3,1,,,,,3,,4,,,2,,,1,1,,,,4,,,,,,,,,,,,,,,,
ROY 09 6a-2 75-76,695.5,0,0,0,10.5,0,0,0,0,0,1,0,4,0,3,0,0,1,0,0,0,0,0,0,1,0,0.5,32.5,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0.5,6,1,1,0,0,0,6,3.5,5.5,0.5,1,2,24,18,5,0,3,0,0,0,0,1,3,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ROY 09 6a-2 78-79,698.5,,,,2,,,,,,4,,0,2,4,,9,2.5,,,,,,1,1,0.5,,86,,,,,1,,1,,,,,,,3,,,,0.5,,10.5,,1,,0.5,37,,,,,2,27.5,1.5,1.5,,1,1,13,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 80-81,700.5,,,,1,,,,,,,,3,,0,,1,,,,,1,,,,,,69,,0.5,,,,,3,,,,,,1,1,,,,2,0.5,6,,,,,14,,1,,,1,,0,0,,,,4,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ROY 09 6a-2 83-84,703.5,1,,,1,,,,,,8,,0,1,5,1,5,2,,,,,,1,0.5,1.5,,96,,13,,,2,,18,,,,,,1,7,,,,0.5,,169.5,,,,1,17,,3,,,,6,0,0,,3,4,11,1,,,1,,,,,,,2,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 85-86,705.5,,,,,,,,,,,,1,,0,,2,,,,,,,,1,,,64,,,,,,,1,,,,,,,,,,,0,,3.5,,,,,5,,1,,,,3.5,1,0,,,,3,0.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 88-89,708.5,,,,2,,,,,,3,,0,,1,,4,1,,,,,,,1,,,153,,,,,,,9,,,,,,,2.5,,,,0,,8,,,,,12,,3,,,,8,0,0,,1,3,3,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
ROY 09 6a-2 90-91,710.5,,,,,,,,,,1,,0,,0,,1,1,,,,,,,,,,35,,1.5,,,,,1.5,,,,,,,,,,,0,,4,,,,0.5,12,,2,,,,,0,0,,,3,2,10,,1,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
ROY 09 A 5B-3 12-13,713.5,,,,24,,,,,,3,,2,,0,,4,1,,,,,,,2.5,0.5,,187,,1,,,,,10,,,,,,,8.5,,,0.5,0,,35,,,,3.5,22,,4,,,,9,1,0,,,2,49,125,10,1,10,,,,,1,,,,,7,,,,2,,,,7,,,,,,,,,,3,1,,,,,
ROY 09 5b-3 14-15,715.5,,,1,2,,,,,,,,0,,3,,4,1,,,,,,,,,,41.5,,,0.5,,,,,,,1,,,,3,,,,2,,,,,,1,8,,1,1,,1,,0,0,,,2,26,5,7,2,2,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 17-18,718.5,,,,2,,,,,,1,,2,,1,,,,,,,,,,1,,,63.5,,0.5,,,,,,,,,,,,3.5,1,,,0,,1.5,,,,1.5,3,,,1,,,2,1,0,,,,24,11,9,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 19-20,720.5,,,,4,,,,,,,,6,,0,,,,,,,,,,1,,,63.5,,,,,,,,,,,,,1,7,,,,0,,,,,,2,5,,,,,,2,1,0,,2,,21,13,5,,1,,,,,1,2,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 22-23,723.5,,,,5,,,,,,2.5,,0,1,0,,2,,,,,,,,0.5,,,70.5,,,,,,,,,,,,1,,5,,,,1,,0.5,,,,,14,,,1,2,1,,1,0,,,,21,53,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 24-25,725.5,1,0,0,6,0,1,2,0,0,4,0,1,1,1,0,7,0,0,0,0,0,0,0,0.5,0,0,64,0,0,0,0,0,0,0,0,0,2,1,0,2,1.5,0,0,0,0,0,0.5,0,0,0,2.5,20,0,0,0,0,1,11.5,4,0,0,1,2,43,37,17,1,5,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ROY 09 5b-3 27-28,728.5,,,,3,,,,,,2,,0,,0,,4,1,,,,,,,,,1,72.5,,,,,,,,,,1,,,2,3,,,,0,,,,,,3,20,1,,1,,,1,3,0,,,1,27,17,9,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
ROY 09 5b-3 29-30 ,730.5,,,,3,,1,,1,,1,,5,,0,,1,,,,,,,0.5,1,1,,41,,1,,,,,,,,,,,1,4,,,,0,,,,,,1,9,1,,1,,,,2,0,,2,,23,20,9,,,,,,,5,,1,,,1,,,,,,,,,,,,,,,,,,4,,,,,,
ROY 09 5b-3 32-33,733.5,,,,6,,1,,1,,6,1,1,4,1,,7,1,,1,,1,,1,0.5,0,,77.5,,2,,,0,,,,,1,,,1,17,,,,0,,0,,0,,4.5,25.5,,,,,0,6.5,1,1,,3,1,51,3,20,1,0,1,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 34-35,735.5,,,,8,,1,,,,4,,1,2,0,,1,,,,,1,,,0.5,,,23.5,,,,0.5,,,,,,,,,,3.5,,,,0,,,,,,1,7,,,,,,5,3,0,,2,2,22,11,3,1,1,,,,,2,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 39-40,740.5,,,,3,,,,,,3,,1,,0,,5,3,,,,,,,,,,27,,0.5,,,,,,,,,,,,7,,,,0,0.5,0.5,,,,,13.5,,1,,,,6.5,7,0,,2,3,5,54,4,,,,,,,2,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 2 42-43check,743.5,,,,5,,1,,,,3,,1,2,1,,2,,,,,,,1,,,,18,,,,,,,,,,,,,,6.5,,,,0,,,,,,0.5,3,,1,,,,4,2,0,,,,13,36,8,,,,,,1,1,2,,,,3,,,,,1,,,,,,,,,,,,,1,1,,,,,
ROY 09 5b-3 44-45,745.5,0,0,0,18,0,0,0,0,0,4,0,3,1,3,0.5,6,0,0,0,0,0,0,0,0.5,0,0,19.5,0,1,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,8,2,1,0,0,0,1,4,1,0,4,1,30,271,17,0,2,1,0,0,0,5,2,0,0,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROY 09 5b-3 49-50,750.5,,,,7,,2.5,,,,8,,0,,0,,4,,,,,,,,1,,,15.5,,,,1,,,,,,,,,1,,,,,0,,,,,,0.5,10,2,,,,,3.5,1,1,,3,1,1,10,8,2,2,,,,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 52-53 ,753.5,,,,2,,,1,,,5,2,0,,0,,2,,,,,,,0.5,,,,111.5,,0.5,,,,,2.5,,,,,,,13,,,,0,0.5,5.5,,,,1,5,,2,,,,2.5,0,0,,4,5,5,12,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 54-55,755.5,,,,,,,,,,3,,0,,0,,1,,,,,,,,,,,11,,,,,,,,,,,,,,4,,,,0,,1,,,,,2,,2,,,,1,1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 57-58,758.5,,,,1,,,,,,,,0,,0,,,,,,,,,,,,,29.5,,,,,,,4,,,,,,,6.5,,,,0,,1.5,,,,,,,,,,,1.5,0,0,,1,,,4,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 59-60,760.5,,,,,,,,,,4,,0,,0,,,,,,,,,,,,,42,,,,,,,0.5,,,,,,,8,,,,0,,1,,,,,,,2,,,,1,0,0,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 62-63,763.5,,,,0,,0,,,,1,0,0,0,0,,0,0,,0,,0,,0,0,0,,117.5,,0,,,0,,17,,,0,,,,15,,,,0,,5.5,,0,,0,0,,3,,,0,8,0,0,,0,0,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 64-65,765.5,,,,,,,,,,,,0,,0,,1,,,,,,,,,,,48,19,,,,,,2.5,,,,,,,6,,,,0,,1,,,,,,,,,,,4,0,0,,,,2,4,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 67-68,768.5,,,,,,,,,,2,,0,,0,,,,,,,,,,,,,36,17,,,,,,4.5,,,,,,,9.5,,,,0,,8.5,,,,,,,4,,,,1,0,0,,1,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 69-70,770.5,,,,,,,,,,7,,0,,0,,,,,,,,,,,,,33,26.5,,,,,,3,,,,,,,6,,,,0,,5,,,,,,,3,,,1,8,0,0,,1,,2,,,,,,,,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 72-73,773.5,,,,,,,,,,1,,0,,0,,,,,,,,,,,,,26,14.5,0.5,,,,,,,,,,,,4,,,,0,1,1,,,,,1,,,,,,,0,0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 74-75,775.5,,,,1,,,,,,1,1,0,,0,,,,,,,,,,,,,36.5,17.5,2.5,,,,,4,,,,,,,5.5,,,,0,,5.5,,,,,2,,,,,,7,0,0,,,,,7,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 77-78,778.5,,,,,,,,,,9,,0,,0,,,,,,,,,,,,,67,19,,,,,,4,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 33-34,653.5,0,0,0,3,0,0,1,3,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,16,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,7,0,0,0,0,0,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 38-39,658.5,0,0,0,5,0,1,2,3,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,9,0,0,2,0,0,5,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 43-44,663.5,0,0,0,2,0,0,1,2,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,2,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,10,0,0,2,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 48-49,668.5,0,0,0,3,0,1,0,2,0,0,0,8,0,1,0,1,0,0,0,0,2,0,0,0,1,0,37,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,0,0,0,9,0,0,0,0,0,2,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 53-54,673.5,0,1,0,1,0,1,0,1,1,0,0,8,0,3,0,0,0,0,0,0,1,0,1,0,0,0,59,0,2,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
